Domains,Labels,Sources
anti-covid19.eu,1,['Fortinet']
anti-covid19.fr,1,"['Kaspersky', 'Sophos', 'Fortinet']"
anti-covid19.info,1,['Fortinet']
anti-covid19.it,1,['Fortinet']
anti-covid19.kz,1,"['G-Data', 'Forcepoint ThreatSeeker', 'CRDF', 'Fortinet']"
anti-covid19.myshopify.com,0,clean
anti-covid19.net,1,['Fortinet']
anti-covid19.nic.in,0,clean
anti-covid19.online,1,['Fortinet']
anti-covid19.org,1,['Fortinet']
anti-covid19.pl,1,['Fortinet']
anti-covid19.ru,1,"['Kaspersky', 'G-Data', 'Sophos', 'Fortinet']"
anti-covid19.shop,1,"['Sangfor', 'Kaspersky', 'Antiy-AVL', 'Forcepoint ThreatSeeker', 'Sophos', 'Netcraft', 'CRDF', 'Fortinet']"
anti-covid19.store,1,['Fortinet']
anti-covid19.top,1,['Fortinet']
anti-covid19brush.com,0,clean
anti-covid19brushforgums.com,0,clean
anti-covid19toothbrush.com,0,clean
anti-covid24.de,0,clean
anti-covidbrush.com,0,clean
anti-covidbrushforgums.com,0,clean
anti-covidgate.com,0,clean
anti-covidtoothbrush.com,0,clean
anti-cronavirusmask.com,1,['Fortinet']
anti-koronavirus.com,1,['Fortinet']
anti-koronavirus.info,1,['Fortinet']
anti-koronavirus.online,1,['Fortinet']
anti-koronavirus.ru,1,"['Kaspersky', 'G-Data', 'Sophos', 'Fortinet']"
anti-koronavirus.store,1,['Fortinet']
anti-pandemic.com,0,clean
anti-pandemic.youtubegears.com,0,clean
anti-sars-cov-2.com,1,['Fortinet']
anti-sars-cov-2.eu,1,['Fortinet']
anti-sars-cov-2.pl,1,['Fortinet']
anti-virus-all.blogspot.com,0,clean
anti-virus-com-coronavirus.pingone.com,0,clean
anti-virus-gel.com,1,['Fortinet']
anti-virus-gel.eu,0,clean
anti-virus-mask.com,1,['Fortinet']
anti-virus-masks.com,1,['Fortinet']
anti-virus-masks.wordpress520.com,0,clean
anti-virus-shop.com,1,['Fortinet']
anti-virus-shop24.com,1,['Fortinet']
anti-virus.care,1,['Fortinet']
anti-virus.deliveryhero.fi,0,clean
anti-virus.domclick.ru,0,clean
anti-virus.eu.gamestore.razer.com,0,clean
anti-virus.gamestore.razer.com,0,clean
anti-virus.lieferando.at,0,clean
anti-virus.nowsecure.io,0,clean
anti-virus.tokyo,1,['Fortinet']
anti-virus.viaprotect.info,0,clean
anti-virus2-covid.giochi.m.ppmail1.pingone.com,0,clean
anti-virusanonymous.covid19-violncia-contra-a-mulher.monday.com,0,clean
anti-virusproducts.com,0,clean
anti-virusse.info,1,['Fortinet']
anti-virususa.com,1,['Fortinet']
anti19covid.com,1,['Fortinet']
anti19covid.es,0,clean
anti3coronavirus.com,1,['Fortinet']
anti3covid19.com,1,['Fortinet']
antia-s.com.ivirus.ru,0,clean
